x,y
0.337,2.122
-3.56,1.423
2.98,5.479
1.66,5.651
-2.56,2.238
1.74,2.784
-1.48,1.563
-0.527,1.912
1.29,4.646
-3.91,-0.4146
-3.38,0.7435
0.111,3.112
1.07,3.78
3.72,4.599
-2.49,1.636
-2.57,1.917
-4.18,-1.443
-4.08,-0.3768
4.98,4.423
4.13,5.87
-3.6,0.07246
3.1,5.445
-2.72,1.327
-1.89,0.369
-2.01,1.059
1.55,4.152
2.07,4.176
0.447,3.331
-1.42,0.8997
-1.66,1.138
3.28,5.328
-1.47,2.619
2.96,4.826
1.5,4.114
2.3,4.777
0.51,3.757
-0.804,2.603
-3.53,-0.085319999999999993
3.86,6.328
-2.83,0.7631
-0.634,3.937
2.94,4.941
-2.7,2.434
-2.09,1.895
0.307,2.731
-4.14,0.7793
-4.8,-0.1179
3.55,6.175
0.597,2.273
-1.07,2.931
4.34,7.647
3.82,6.039
2.71,5.316
-3.98,0.07644
-4.51,-0.09636
0.914,2.827
-3.34,0.7826
3.09,6.229
1.35,4.419
-1.85,2.055
1.09,4.83
0.00823,4.395
4.63,6.357
-4.32,0.7696
-0.149,2.551
-2.14,1.776
2.29,5.109
-1.91,2.026
-3.23,1.707
-2.93,0.276
-2.07,1.609
0.393,3.525
1.36,4.007
-3.24,0.9007
0.226,4.493
-1.46,3.5
0.319,3.735
-4.48,0.9622
3.49,6.315
2.75,5.673
-2.32,2.198
-2,0.6813
-3.06,1.168
-4.08,0.6088
2.98,4.402
-1.24,2.004
-0.272,2.742
-3.37,-0.1286
-3.53,-0.2324
-3.32,1.95
3.24,5.008
-3.4,-0.3893
-2.88,1.281
-0.656,3.065
2.7,4.567
-1.67,0.7463
0.599,2.752
2.04,3.776
4.15,4.642
-0.945,2.789
-3.55,1.193
-2.21,2.605
3.92,5.068
0.353,3.037
3.74,5.953
3.95,5.689
-3.61,0.7638
2.46,3.639
-2.09,1.999
-3.25,0.8774
-4.37,-0.8178
4.47,6.752
-2.32,1.684
-4.29,-1.322
-1.72,1.194
-4.24,-0.7647
3.96,5.467
0.0306,1.473
-0.948,2.987
-2.48,1.668
-0.544,1.321
-1.56,1.734
-0.0387,3.27
-0.0881,2.118
3.52,5.929
1.41,3.77
1.19,3.14
1.32,3.929
-2.69,0.8932
1.13,3.626
-2.89,0.1775
0.051,2.249
3.95,5.999
-0.552,2.258
0.703,2.334
-4.63,-0.4298
3.09,5.736
-0.21,3.514
-3.51,-0.5465
2.12,4.254
-2.47,1.323
-2.24,1.263
-0.294,3.409
-1.62,2.03
3.35,5.948
-3.29,0.329
1.11,4.021
4.59,5.427
-4.52,-1.027
1.7,3.909
-0.814,1.747
-3.58,0.005318
-3.69,1.195
2.86,5.678
3.96,6.311
-0.693,1.987
-1.29,1
-1.29,3.541
0.125,3.958
-2.33,1.454
4.49,7.101
-1.21,1.893
-1.45,2.426
3.05,5.168
1.81,5.058
3.16,4.676
-0.169,2.407
-1.43,2.423
4.65,4.637
3.97,5.62
-3.47,1.495
0.153,3.118
-0.482,4.395
-2.62,1.525
1.72,3.316
2.42,5.123
-2.48,1.341
3.99,5.48
0.994,4.404
