communityname,state,population,householdsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,pctUrban,medIncome,PctPopUnderPov,PopDens,LemasPctOfficDrugUn,murdPerPop,rapesPerPop,robbbPerPop,assaultPerPop,burglPerPop,larcPerPop,autoTheftPerPop,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
BerkeleyHeightstownship,NJ,11980,3.1,12.47,21.44,10.93,11.33,100.0,75122,1.96,1845.9,0.0,0.0,0,8.2,32.81,114.85,1132.08,131.26,16.41,41.02,1394.59
Marpletownship,PA,23123,2.82,11.01,21.3,10.48,17.18,100.0,47917,3.98,2186.7,0.0,0.0,4.25,21.26,102.05,242.37,1598.78,110.55,4.25,127.56,1955.95
Tigardcity,OR,29344,2.43,11.36,25.88,11.01,10.28,100.0,35669,4.75,2780.9,0.0,8.3,16.6,154.95,38.74,758.14,4972.19,376.3,60.87,218.59,6167.51
Gloversvillecity,NY,16656,2.4,12.55,25.2,12.19,17.57,0.0,20580,17.23,3217.7,0.0,0.0,57.86,57.86,190.93,1301.78,4142.56,271.93,,306.64,
Bemidjicity,MN,11245,2.76,24.46,40.53,28.69,12.65,0.0,17390,29.99,974.2,0.0,0.0,,32.04,112.14,728.93,8490.87,728.93,40.05,,9988.79
Springfieldcity,MO,140494,2.45,18.09,32.89,20.04,13.26,100.0,21577,17.78,1995.7,0.0,4.63,50.98,90.05,297.29,1386.46,5091.64,300.6,88.72,442.95,6867.42
Norwoodtown,MA,28700,2.6,11.17,27.41,12.76,14.42,100.0,42805,4.01,2643.5,0.0,0.0,13.53,30.44,182.66,372.09,974.19,487.1,57.5,226.63,1890.88
Andersoncity,IN,59459,2.45,15.31,27.93,14.78,14.6,100.0,23221,17.98,1515.3,0.0,13.13,55.79,160.8,210.02,997.6,3691.79,205.1,14.77,439.73,4909.26
Fargocity,ND,74111,2.46,16.64,35.16,20.33,8.58,100.0,25326,13.68,2399.3,0.0,0.0,43.87,20.05,51.39,532.66,3946.71,258.18,10.03,115.31,4747.58
Wacocity,TX,103590,2.62,19.88,34.55,21.62,13.12,100.0,17852,28.68,1319.3,6.57,26.88,130.69,419.89,966.77,2221.81,5673.63,991.8,16.68,1544.24,8903.93
